deleted network stats,12-12-2022_20:28:36
#################### NETWORK STATS 15/12/2022 00:40:42 ####################
Sent,3.3505859375 MB
Received,0.4521484375 MB
#################### NETWORK STATS 15/12/2022 00:40:43 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:48 ####################
Sent,0.107421875 MB
Received,0.12890625 MB
#################### NETWORK STATS 15/12/2022 00:40:49 ####################
Sent,0.1396484375 MB
Received,0.7822265625 MB
#################### NETWORK STATS 15/12/2022 00:40:50 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:52 ####################
Sent,0.0537109375 MB
Received,0.064453125 MB
#################### NETWORK STATS 15/12/2022 00:40:53 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:54 ####################
Sent,0.0 MB
Received,0.052734375 MB
#################### NETWORK STATS 15/12/2022 00:40:56 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:57 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:58 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:40:59 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:01 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:02 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:03 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:04 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:06 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:07 ####################
Sent,0.2138671875 MB
Received,0.052734375 MB
#################### NETWORK STATS 15/12/2022 00:41:08 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:09 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:11 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 00:41:12 ####################
Sent,0.0537109375 MB
