#################### MEMORY STATS 13/12/2022 14:02:00 ####################
Total memory,15.87 GB
Available memory,5.14 GB
In use memory,10.73 GB
Memory usage,5.14%
#################### MEMORY STATS 13/12/2022 14:02:01 ####################
Total memory,15.87 GB
Available memory,5.14 GB
In use memory,10.73 GB
Memory usage,5.14%
#################### MEMORY STATS 13/12/2022 14:02:03 ####################
Total memory,15.87 GB
Available memory,5.16 GB
In use memory,10.72 GB
Memory usage,5.16%
#################### MEMORY STATS 13/12/2022 14:02:04 ####################
Total memory,15.87 GB
Available memory,5.23 GB
In use memory,10.64 GB
Memory usage,5.23%
#################### MEMORY STATS 13/12/2022 14:02:05 ####################
Total memory,15.87 GB
Available memory,5.14 GB
In use memory,10.73 GB
Memory usage,5.14%
#################### MEMORY STATS 13/12/2022 14:02:06 ####################
Total memory,15.87 GB
Available memory,5.12 GB
In use memory,10.75 GB
Memory usage,5.12%
#################### MEMORY STATS 13/12/2022 14:02:08 ####################
Total memory,15.87 GB
Available memory,5.13 GB
In use memory,10.75 GB
Memory usage,5.13%
#################### MEMORY STATS 13/12/2022 14:02:09 ####################
Total memory,15.87 GB
Available memory,5.21 GB
In use memory,10.67 GB
Memory usage,5.21%
#################### MEMORY STATS 13/12/2022 14:02:10 ####################
Total memory,15.87 GB
Available memory,5.11 GB
In use memory,10.76 GB
Memory usage,5.11%
#################### MEMORY STATS 13/12/2022 14:02:11 ####################
Total memory,15.87 GB
Available memory,5.11 GB
In use memory,10.76 GB
Memory usage,5.11%
#################### MEMORY STATS 13/12/2022 14:02:13 ####################
Total memory,15.87 GB
Available memory,5.05 GB
In use memory,10.82 GB
Memory usage,5.05%
#################### MEMORY STATS 13/12/2022 14:02:14 ####################
Total memory,15.87 GB
Available memory,5.03 GB
In use memory,10.84 GB
Memory usage,5.03%
#################### MEMORY STATS 13/12/2022 14:02:15 ####################
Total memory,15.87 GB
Available memory,5.04 GB
In use memory,10.83 GB
Memory usage,5.04%
#################### MEMORY STATS 13/12/2022 14:02:16 ####################
Total memory,15.87 GB
Available memory,5.04 GB
In use memory,10.83 GB
Memory usage,5.04%
