cpu stats deleted,12-12-2022_17-08-35
#################### CPU STATS 12/12/2022 17:08:28 ####################
CPU,Core 1,12.1%
CPU,Core 2,9.1%
CPU,Core 3,6.1%
CPU,Core 4,6.1%
CPU,Core 5,6.1%
CPU,Core 6,12.1%
CPU,Core 7,6.1%
CPU,Core 8,6.1%
CPU,Core 9,6.1%
CPU,Core 10,6.1%
CPU,Core 11,6.1%
#################### CPU STATS 12/12/2022 17:11:27 ####################
CPU,Core 0,3.1%
CPU,Core 1,6.2%
CPU,Core 2,9.4%
CPU,Core 3,0.0%
CPU,Core 4,6.2%
CPU,Core 5,3.1%
CPU,Core 6,9.4%
CPU,Core 7,0.0%
CPU,Core 8,6.2%
CPU,Core 9,28.1%
CPU,Core 10,3.1%
CPU,Core 11,3.1%
#################### CPU STATS 12/12/2022 17:11:28 ####################
CPU,Core 0,12.1%
CPU,Core 1,6.1%
CPU,Core 2,9.1%
CPU,Core 3,6.1%
CPU,Core 4,3.0%
CPU,Core 5,3.0%
CPU,Core 6,6.1%
CPU,Core 7,6.1%
CPU,Core 8,9.1%
CPU,Core 9,3.0%
CPU,Core 10,30.3%
CPU,Core 11,3.0%
#################### CPU STATS 12/12/2022 17:11:29 ####################
CPU,Core 0,14.7%
CPU,Core 1,11.8%
CPU,Core 2,0.0%
CPU,Core 3,9.1%
CPU,Core 4,3.0%
CPU,Core 5,3.0%
CPU,Core 6,6.1%
CPU,Core 7,9.1%
CPU,Core 8,3.0%
CPU,Core 9,0.0%
CPU,Core 10,0.0%
CPU,Core 11,33.3%
#################### CPU STATS 12/12/2022 17:11:30 ####################
CPU,Core 0,8.8%
CPU,Core 1,9.1%
CPU,Core 2,15.2%
CPU,Core 3,3.0%
CPU,Core 4,3.0%
CPU,Core 5,3.0%
CPU,Core 6,3.0%
CPU,Core 7,6.1%
CPU,Core 8,3.0%
CPU,Core 9,3.0%
CPU,Core 10,3.0%
CPU,Core 11,3.0%
#################### CPU STATS 12/12/2022 17:11:32 ####################
CPU,Core 0,20.0%
CPU,Core 1,3.0%
CPU,Core 2,12.1%
CPU,Core 3,0.0%
CPU,Core 4,3.0%
CPU,Core 5,6.1%
CPU,Core 6,6.1%
